Categoria: Todas as categorias

Mês,time series: (Todo o mundo),data science: (Todo o mundo),big data: (Todo o mundo)
2004-01,38,8,4
2004-02,43,9,4
2004-03,41,7,5
2004-04,45,8,5
2004-05,40,7,3
2004-06,43,8,4
2004-07,44,6,4
2004-08,40,8,3
2004-09,39,9,3
2004-10,49,9,3
2004-11,38,7,4
2004-12,38,7,4
2005-01,35,9,5
2005-02,35,6,4
2005-03,40,7,5
2005-04,42,7,3
2005-05,38,6,4
2005-06,31,6,3
2005-07,34,6,4
2005-08,31,7,2
2005-09,32,7,4
2005-10,42,6,3
2005-11,34,6,3
2005-12,32,4,3
2006-01,31,6,4
2006-02,31,6,4
2006-03,30,5,3
2006-04,32,6,3
2006-05,30,5,4
2006-06,27,5,4
2006-07,24,4,3
2006-08,25,5,3
2006-09,27,6,4
2006-10,34,5,3
2006-11,27,6,3
2006-12,24,4,3
2007-01,24,4,3
2007-02,25,6,3
2007-03,25,4,3
2007-04,27,4,2
2007-05,27,4,3
2007-06,25,5,3
2007-07,25,4,3
2007-08,24,4,3
2007-09,27,5,4
2007-10,35,5,3
2007-11,29,5,3
2007-12,25,4,3
2008-01,25,5,3
2008-02,26,6,3
2008-03,27,4,4
2008-04,27,5,4
2008-05,26,4,3
2008-06,25,4,3
2008-07,24,5,3
2008-08,23,4,3
2008-09,25,6,4
2008-10,34,4,4
2008-11,27,5,4
2008-12,24,4,3
2009-01,25,5,3
2009-02,26,6,4
2009-03,27,6,4
2009-04,27,4,3
2009-05,27,4,3
2009-06,25,4,3
2009-07,25,4,3
2009-08,25,4,3
2009-09,27,6,4
2009-10,35,6,4
2009-11,40,5,3
2009-12,27,5,4
2010-01,29,6,4
2010-02,28,6,4
2010-03,31,5,4
2010-04,30,6,4
2010-05,32,5,3
2010-06,29,5,4
2010-07,26,4,3
2010-08,27,4,4
2010-09,28,6,4
2010-10,45,5,4
2010-11,34,5,4
2010-12,28,5,4
2011-01,28,6,5
2011-02,27,6,4
2011-03,28,5,5
2011-04,32,5,5
2011-05,29,5,6
2011-06,27,4,6
2011-07,27,4,6
2011-08,28,5,6
2011-09,31,7,7
2011-10,57,6,8
2011-11,38,6,9
2011-12,36,5,9
2012-01,38,6,11
2012-02,39,7,14
2012-03,38,5,16
2012-04,42,6,17
2012-05,41,6,18
2012-06,38,5,18
2012-07,36,4,18
2012-08,36,6,19
2012-09,39,9,23
2012-10,56,7,26
2012-11,40,6,28
2012-12,36,6,24
2013-01,39,7,29
2013-02,39,8,32
2013-03,39,7,36
2013-04,39,8,39
2013-05,38,8,38
2013-06,36,7,39
2013-07,36,6,38
2013-08,34,8,38
2013-09,37,10,42
2013-10,63,10,46
2013-11,44,9,45
2013-12,41,9,38
2014-01,39,11,46
2014-02,39,11,50
2014-03,45,11,52
2014-04,47,11,52
2014-05,44,11,52
2014-06,39,10,50
2014-07,40,11,54
2014-08,42,13,53
2014-09,43,16,59
2014-10,69,14,61
2014-11,48,15,61
2014-12,45,13,52
2015-01,45,16,56
2015-02,42,16,61
2015-03,46,16,65
2015-04,49,16,62
2015-05,46,17,57
2015-06,43,17,60
2015-07,42,17,55
2015-08,42,20,52
2015-09,46,23,63
2015-10,77,21,63
2015-11,57,21,62
2015-12,41,19,54
2016-01,40,22,56
2016-02,41,23,66
2016-03,42,23,63
2016-04,44,23,63
2016-05,44,23,62
2016-06,43,24,62
2016-07,37,22,55
2016-08,36,25,55
2016-09,39,30,62
2016-10,100,29,62
2016-11,87,29,67
2016-12,39,28,57
2017-01,43,35,62
2017-02,44,37,71
2017-03,47,38,71
2017-04,47,37,66
2017-05,44,37,65
2017-06,40,37,61
2017-07,40,37,57
2017-08,41,40,58
2017-09,41,44,64
2017-10,71,45,68
2017-11,58,45,70
2017-12,42,40,56
2018-01,43,49,60
2018-02,45,50,64
2018-03,46,50,66
2018-04,44,51,62
2018-05,45,51,59
2018-06,43,49,56
2018-07,40,51,56
2018-08,41,55,56
2018-09,42,60,65
2018-10,65,60,69
2018-11,46,58,63
